Standard,Frequency(Hz),Channel BW(Hz),Data Rate/MCS Index,Frame Format,Payload Length,Power Level,# Packets Transmitted,#Packets Received,PER(%),Measurment Time(min)
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-36,200,200,0,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-41,200,200,0,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-46,200,200,0,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-51,200,200,0,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-56,200,199,0.5,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-61,200,200,0,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-66,200,200,0,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-71,200,199,0.5,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-76,200,200,0,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-81,200,190,5,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-81,200,200,0,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-82,200,200,0,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-83,200,194,3,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-84,200,191,4.5,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-85,200,199,0.5,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-86,200,192,4,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-87,200,191,4.5,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-88,200,199,0.5,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-89,200,190,5,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-90,200,189,5.5,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-91,200,194,3,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-92,200,182,9,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-93,200,150,25,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-94,200,77,61.5,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-95,200,11,94.5,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-96,200,1,99.5,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-97,200,0,100,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-98,200,0,100,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-99,200,0,100,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-100,200,0,100,
802.11 A/G OFDM,2427000000,20000000,6Mbps,OFDM,134,-15,200,199,0.5,0.046067
802.11 A/G OFDM,2427000000,20000000,6Mbps,OFDM,134,-16,200,200,0,
802.11 A/G OFDM,2427000000,20000000,6Mbps,OFDM,134,-17,200,199,0.5,
802.11 A/G OFDM,2427000000,20000000,6Mbps,OFDM,134,-18,200,200,0,
802.11 A/G OFDM,2427000000,20000000,6Mbps,OFDM,134,-19,200,200,0,
802.11 A/G OFDM,2427000000,20000000,6Mbps,OFDM,134,-20,200,200,0,
802.11 A/G OFDM,2427000000,20000000,6Mbps,OFDM,134,-21,200,200,0,
802.11 A/G OFDM,2427000000,20000000,6Mbps,OFDM,134,-22,200,200,0,
802.11 A/G OFDM,2427000000,20000000,6Mbps,OFDM,134,-23,200,200,0,
802.11 A/G OFDM,2427000000,20000000,6Mbps,OFDM,134,-24,200,200,0,
802.11 A/G OFDM,2427000000,20000000,6Mbps,OFDM,134,-25,200,199,0.5,
802.11 A/G OFDM,2427000000,20000000,6Mbps,OFDM,134,-26,200,196,2,
802.11 A/G OFDM,2427000000,20000000,6Mbps,OFDM,134,-31,200,197,1.5,
802.11 A/G OFDM,2427000000,20000000,6Mbps,OFDM,134,-36,200,199,0.5,
802.11 A/G OFDM,2427000000,20000000,6Mbps,OFDM,134,-41,200,200,0,
802.11 A/G OFDM,2427000000,20000000,6Mbps,OFDM,134,-46,200,200,0,
802.11 A/G OFDM,2427000000,20000000,6Mbps,OFDM,134,-51,200,200,0,
802.11 A/G OFDM,2427000000,20000000,6Mbps,OFDM,134,-56,200,200,0,
802.11 A/G OFDM,2427000000,20000000,6Mbps,OFDM,134,-61,200,200,0,
802.11 A/G OFDM,2427000000,20000000,6Mbps,OFDM,134,-66,200,200,0,
802.11 A/G OFDM,2427000000,20000000,6Mbps,OFDM,134,-71,200,200,0,
802.11 A/G OFDM,2427000000,20000000,6Mbps,OFDM,134,-76,200,200,0,
802.11 A/G OFDM,2427000000,20000000,6Mbps,OFDM,134,-81,200,200,0,
802.11 A/G OFDM,2427000000,20000000,6Mbps,OFDM,134,-81,200,200,0,
802.11 A/G OFDM,2427000000,20000000,6Mbps,OFDM,134,-82,200,200,0,
802.11 A/G OFDM,2427000000,20000000,6Mbps,OFDM,134,-83,200,200,0,
802.11 A/G OFDM,2427000000,20000000,6Mbps,OFDM,134,-84,200,200,0,
802.11 A/G OFDM,2427000000,20000000,6Mbps,OFDM,134,-85,200,200,0,
802.11 A/G OFDM,2427000000,20000000,6Mbps,OFDM,134,-86,200,200,0,
802.11 A/G OFDM,2427000000,20000000,6Mbps,OFDM,134,-87,200,200,0,
802.11 A/G OFDM,2427000000,20000000,6Mbps,OFDM,134,-88,200,200,0,
802.11 A/G OFDM,2427000000,20000000,6Mbps,OFDM,134,-89,200,198,1,
802.11 A/G OFDM,2427000000,20000000,6Mbps,OFDM,134,-90,200,199,0.5,
802.11 A/G OFDM,2427000000,20000000,6Mbps,OFDM,134,-91,200,198,1,
802.11 A/G OFDM,2427000000,20000000,6Mbps,OFDM,134,-92,200,186,7,
802.11 A/G OFDM,2427000000,20000000,6Mbps,OFDM,134,-93,200,144,28,
802.11 A/G OFDM,2427000000,20000000,6Mbps,OFDM,134,-94,200,73,63.5,
802.11 A/G OFDM,2427000000,20000000,6Mbps,OFDM,134,-95,200,8,96,
802.11 A/G OFDM,2427000000,20000000,6Mbps,OFDM,134,-96,200,0,100,
802.11 A/G OFDM,2427000000,20000000,6Mbps,OFDM,134,-97,200,0,100,
802.11 A/G OFDM,2427000000,20000000,6Mbps,OFDM,134,-98,200,0,100,
802.11 A/G OFDM,2427000000,20000000,6Mbps,OFDM,134,-99,200,0,100,
802.11 A/G OFDM,2427000000,20000000,6Mbps,OFDM,134,-100,200,0,100,
802.11 A/G OFDM,2432000000,20000000,6Mbps,OFDM,134,-15,200,200,0,0.046033
802.11 A/G OFDM,2432000000,20000000,6Mbps,OFDM,134,-16,200,200,0,
802.11 A/G OFDM,2432000000,20000000,6Mbps,OFDM,134,-17,200,200,0,
802.11 A/G OFDM,2432000000,20000000,6Mbps,OFDM,134,-18,200,200,0,
802.11 A/G OFDM,2432000000,20000000,6Mbps,OFDM,134,-19,200,200,0,
802.11 A/G OFDM,2432000000,20000000,6Mbps,OFDM,134,-20,200,200,0,
802.11 A/G OFDM,2432000000,20000000,6Mbps,OFDM,134,-21,200,200,0,
802.11 A/G OFDM,2432000000,20000000,6Mbps,OFDM,134,-22,200,200,0,
802.11 A/G OFDM,2432000000,20000000,6Mbps,OFDM,134,-23,200,200,0,
802.11 A/G OFDM,2432000000,20000000,6Mbps,OFDM,134,-24,200,200,0,
802.11 A/G OFDM,2432000000,20000000,6Mbps,OFDM,134,-25,200,198,1,
802.11 A/G OFDM,2432000000,20000000,6Mbps,OFDM,134,-26,200,198,1,
802.11 A/G OFDM,2432000000,20000000,6Mbps,OFDM,134,-31,200,195,2.5,
802.11 A/G OFDM,2432000000,20000000,6Mbps,OFDM,134,-36,200,200,0,
802.11 A/G OFDM,2432000000,20000000,6Mbps,OFDM,134,-41,200,200,0,
802.11 A/G OFDM,2432000000,20000000,6Mbps,OFDM,134,-46,200,200,0,
802.11 A/G OFDM,2432000000,20000000,6Mbps,OFDM,134,-51,200,200,0,
802.11 A/G OFDM,2432000000,20000000,6Mbps,OFDM,134,-56,200,200,0,
802.11 A/G OFDM,2432000000,20000000,6Mbps,OFDM,134,-61,200,200,0,
802.11 A/G OFDM,2432000000,20000000,6Mbps,OFDM,134,-66,200,200,0,
802.11 A/G OFDM,2432000000,20000000,6Mbps,OFDM,134,-71,200,200,0,
802.11 A/G OFDM,2432000000,20000000,6Mbps,OFDM,134,-76,200,200,0,
802.11 A/G OFDM,2432000000,20000000,6Mbps,OFDM,134,-81,200,200,0,
802.11 A/G OFDM,2432000000,20000000,6Mbps,OFDM,134,-81,200,200,0,
802.11 A/G OFDM,2432000000,20000000,6Mbps,OFDM,134,-82,200,200,0,
802.11 A/G OFDM,2432000000,20000000,6Mbps,OFDM,134,-83,200,200,0,
802.11 A/G OFDM,2432000000,20000000,6Mbps,OFDM,134,-84,200,200,0,
802.11 A/G OFDM,2432000000,20000000,6Mbps,OFDM,134,-85,200,200,0,
802.11 A/G OFDM,2432000000,20000000,6Mbps,OFDM,134,-86,200,200,0,
802.11 A/G OFDM,2432000000,20000000,6Mbps,OFDM,134,-87,200,200,0,
802.11 A/G OFDM,2432000000,20000000,6Mbps,OFDM,134,-88,200,199,0.5,
802.11 A/G OFDM,2432000000,20000000,6Mbps,OFDM,134,-89,200,199,0.5,
802.11 A/G OFDM,2432000000,20000000,6Mbps,OFDM,134,-90,200,200,0,
802.11 A/G OFDM,2432000000,20000000,6Mbps,OFDM,134,-91,200,197,1.5,
802.11 A/G OFDM,2432000000,20000000,6Mbps,OFDM,134,-92,200,182,9,
802.11 A/G OFDM,2432000000,20000000,6Mbps,OFDM,134,-93,200,159,20.5,
802.11 A/G OFDM,2432000000,20000000,6Mbps,OFDM,134,-94,200,57,71.5,
802.11 A/G OFDM,2432000000,20000000,6Mbps,OFDM,134,-95,200,11,94.5,
802.11 A/G OFDM,2432000000,20000000,6Mbps,OFDM,134,-96,200,0,100,
802.11 A/G OFDM,2432000000,20000000,6Mbps,OFDM,134,-97,200,0,100,
802.11 A/G OFDM,2432000000,20000000,6Mbps,OFDM,134,-98,200,0,100,
802.11 A/G OFDM,2432000000,20000000,6Mbps,OFDM,134,-99,200,0,100,
802.11 A/G OFDM,2432000000,20000000,6Mbps,OFDM,134,-100,200,0,100,
802.11 A/G OFDM,2437000000,20000000,6Mbps,OFDM,134,-15,200,199,0.5,0.04605
802.11 A/G OFDM,2437000000,20000000,6Mbps,OFDM,134,-16,200,200,0,
802.11 A/G OFDM,2437000000,20000000,6Mbps,OFDM,134,-17,200,197,1.5,
802.11 A/G OFDM,2437000000,20000000,6Mbps,OFDM,134,-18,200,200,0,
802.11 A/G OFDM,2437000000,20000000,6Mbps,OFDM,134,-19,200,200,0,
802.11 A/G OFDM,2437000000,20000000,6Mbps,OFDM,134,-20,200,200,0,
802.11 A/G OFDM,2437000000,20000000,6Mbps,OFDM,134,-21,200,200,0,
802.11 A/G OFDM,2437000000,20000000,6Mbps,OFDM,134,-22,200,200,0,
802.11 A/G OFDM,2437000000,20000000,6Mbps,OFDM,134,-23,200,200,0,
802.11 A/G OFDM,2437000000,20000000,6Mbps,OFDM,134,-24,200,199,0.5,
802.11 A/G OFDM,2437000000,20000000,6Mbps,OFDM,134,-25,200,198,1,
802.11 A/G OFDM,2437000000,20000000,6Mbps,OFDM,134,-26,200,198,1,
802.11 A/G OFDM,2437000000,20000000,6Mbps,OFDM,134,-31,200,199,0.5,
802.11 A/G OFDM,2437000000,20000000,6Mbps,OFDM,134,-36,200,200,0,
802.11 A/G OFDM,2437000000,20000000,6Mbps,OFDM,134,-41,200,200,0,
802.11 A/G OFDM,2437000000,20000000,6Mbps,OFDM,134,-46,200,200,0,
802.11 A/G OFDM,2437000000,20000000,6Mbps,OFDM,134,-51,200,200,0,
802.11 A/G OFDM,2437000000,20000000,6Mbps,OFDM,134,-56,200,200,0,
802.11 A/G OFDM,2437000000,20000000,6Mbps,OFDM,134,-61,200,200,0,
802.11 A/G OFDM,2437000000,20000000,6Mbps,OFDM,134,-66,200,200,0,
802.11 A/G OFDM,2437000000,20000000,6Mbps,OFDM,134,-71,200,200,0,
802.11 A/G OFDM,2437000000,20000000,6Mbps,OFDM,134,-76,200,200,0,
802.11 A/G OFDM,2437000000,20000000,6Mbps,OFDM,134,-81,200,200,0,
802.11 A/G OFDM,2437000000,20000000,6Mbps,OFDM,134,-81,200,200,0,
802.11 A/G OFDM,2437000000,20000000,6Mbps,OFDM,134,-82,200,200,0,
802.11 A/G OFDM,2437000000,20000000,6Mbps,OFDM,134,-83,200,200,0,
802.11 A/G OFDM,2437000000,20000000,6Mbps,OFDM,134,-84,200,200,0,
802.11 A/G OFDM,2437000000,20000000,6Mbps,OFDM,134,-85,200,200,0,
802.11 A/G OFDM,2437000000,20000000,6Mbps,OFDM,134,-86,200,200,0,
802.11 A/G OFDM,2437000000,20000000,6Mbps,OFDM,134,-87,200,200,0,
802.11 A/G OFDM,2437000000,20000000,6Mbps,OFDM,134,-88,200,200,0,
802.11 A/G OFDM,2437000000,20000000,6Mbps,OFDM,134,-89,200,199,0.5,
802.11 A/G OFDM,2437000000,20000000,6Mbps,OFDM,134,-90,200,199,0.5,
802.11 A/G OFDM,2437000000,20000000,6Mbps,OFDM,134,-91,200,196,2,
