Standard,Frequency(Hz),Channel BW(Hz),Data Rate/MCS Index,Frame Format,Payload Length,Power Level,PER(%),Measurment Time(s)
802.11 A/G OFDM,2417000000.000000,20000000.000000,6Mbps,OFDM,134,-56.000000,0.000000,
802.11 A/G OFDM,2417000000.000000,20000000.000000,6Mbps,OFDM,134,-61.000000,0.000000,
802.11 A/G OFDM,2417000000.000000,20000000.000000,6Mbps,OFDM,134,-66.000000,0.000000,
802.11 A/G OFDM,2417000000.000000,20000000.000000,6Mbps,OFDM,134,-71.000000,0.000000,
802.11 A/G OFDM,2417000000.000000,20000000.000000,6Mbps,OFDM,134,-76.000000,0.000000,
802.11 A/G OFDM,2417000000.000000,20000000.000000,6Mbps,OFDM,134,-81.000000,0.000000,
802.11 A/G OFDM,2417000000.000000,20000000.000000,6Mbps,OFDM,134,-81.000000,0.000000,
802.11 A/G OFDM,2417000000.000000,20000000.000000,6Mbps,OFDM,134,-82.000000,0.000000,
802.11 A/G OFDM,2417000000.000000,20000000.000000,6Mbps,OFDM,134,-83.000000,0.000000,
802.11 A/G OFDM,2417000000.000000,20000000.000000,6Mbps,OFDM,134,-84.000000,0.000000,
802.11 A/G OFDM,2417000000.000000,20000000.000000,6Mbps,OFDM,134,-85.000000,0.000000,
802.11 A/G OFDM,2417000000.000000,20000000.000000,6Mbps,OFDM,134,-86.000000,0.000000,
802.11 A/G OFDM,2417000000.000000,20000000.000000,6Mbps,OFDM,134,-87.000000,0.000000,
802.11 A/G OFDM,2417000000.000000,20000000.000000,6Mbps,OFDM,134,-88.000000,0.500000,
802.11 A/G OFDM,2417000000.000000,20000000.000000,6Mbps,OFDM,134,-89.000000,0.000000,
802.11 A/G OFDM,2417000000.000000,20000000.000000,6Mbps,OFDM,134,-90.000000,4.000000,
802.11 A/G OFDM,2417000000.000000,20000000.000000,6Mbps,OFDM,134,-91.000000,9.000000,
802.11 A/G OFDM,2417000000.000000,20000000.000000,6Mbps,OFDM,134,-92.000000,38.500000,
802.11 A/G OFDM,2417000000.000000,20000000.000000,6Mbps,OFDM,134,-93.000000,80.500000,
802.11 A/G OFDM,2417000000.000000,20000000.000000,6Mbps,OFDM,134,-94.000000,99.000000,
802.11 A/G OFDM,2417000000.000000,20000000.000000,6Mbps,OFDM,134,-95.000000,100.000000,
802.11 A/G OFDM,2417000000.000000,20000000.000000,6Mbps,OFDM,134,-96.000000,100.000000,
802.11 A/G OFDM,2417000000.000000,20000000.000000,6Mbps,OFDM,134,-97.000000,100.000000,
802.11 A/G OFDM,2417000000.000000,20000000.000000,6Mbps,OFDM,134,-98.000000,100.000000,
802.11 A/G OFDM,2417000000.000000,20000000.000000,6Mbps,OFDM,134,-99.000000,100.000000,
802.11 A/G OFDM,2417000000.000000,20000000.000000,6Mbps,OFDM,134,-100.000000,100.000000,
802.11 A/G OFDM,2442000000.000000,20000000.000000,6Mbps,OFDM,134,-15.000000,0.000000,2.773000
802.11 A/G OFDM,2442000000.000000,20000000.000000,6Mbps,OFDM,134,-16.000000,0.000000,
802.11 A/G OFDM,2442000000.000000,20000000.000000,6Mbps,OFDM,134,-17.000000,0.000000,
802.11 A/G OFDM,2442000000.000000,20000000.000000,6Mbps,OFDM,134,-18.000000,0.000000,
802.11 A/G OFDM,2442000000.000000,20000000.000000,6Mbps,OFDM,134,-19.000000,0.000000,
802.11 A/G OFDM,2442000000.000000,20000000.000000,6Mbps,OFDM,134,-20.000000,0.000000,
802.11 A/G OFDM,2442000000.000000,20000000.000000,6Mbps,OFDM,134,-21.000000,0.000000,
802.11 A/G OFDM,2442000000.000000,20000000.000000,6Mbps,OFDM,134,-22.000000,1.000000,
802.11 A/G OFDM,2442000000.000000,20000000.000000,6Mbps,OFDM,134,-23.000000,0.000000,
802.11 A/G OFDM,2442000000.000000,20000000.000000,6Mbps,OFDM,134,-24.000000,0.500000,
802.11 A/G OFDM,2442000000.000000,20000000.000000,6Mbps,OFDM,134,-25.000000,0.500000,
802.11 A/G OFDM,2442000000.000000,20000000.000000,6Mbps,OFDM,134,-26.000000,1.500000,
802.11 A/G OFDM,2442000000.000000,20000000.000000,6Mbps,OFDM,134,-31.000000,0.500000,
802.11 A/G OFDM,2442000000.000000,20000000.000000,6Mbps,OFDM,134,-36.000000,0.000000,
802.11 A/G OFDM,2442000000.000000,20000000.000000,6Mbps,OFDM,134,-41.000000,0.000000,
802.11 A/G OFDM,2442000000.000000,20000000.000000,6Mbps,OFDM,134,-46.000000,0.000000,
802.11 A/G OFDM,2442000000.000000,20000000.000000,6Mbps,OFDM,134,-51.000000,0.000000,
802.11 A/G OFDM,2442000000.000000,20000000.000000,6Mbps,OFDM,134,-56.000000,0.000000,
802.11 A/G OFDM,2442000000.000000,20000000.000000,6Mbps,OFDM,134,-61.000000,0.000000,
802.11 A/G OFDM,2442000000.000000,20000000.000000,6Mbps,OFDM,134,-66.000000,0.000000,
802.11 A/G OFDM,2442000000.000000,20000000.000000,6Mbps,OFDM,134,-71.000000,0.000000,
802.11 A/G OFDM,2442000000.000000,20000000.000000,6Mbps,OFDM,134,-76.000000,0.000000,
802.11 A/G OFDM,2442000000.000000,20000000.000000,6Mbps,OFDM,134,-81.000000,0.000000,
802.11 A/G OFDM,2442000000.000000,20000000.000000,6Mbps,OFDM,134,-81.000000,0.000000,
802.11 A/G OFDM,2442000000.000000,20000000.000000,6Mbps,OFDM,134,-82.000000,0.000000,
802.11 A/G OFDM,2442000000.000000,20000000.000000,6Mbps,OFDM,134,-83.000000,0.000000,
802.11 A/G OFDM,2442000000.000000,20000000.000000,6Mbps,OFDM,134,-84.000000,0.000000,
802.11 A/G OFDM,2442000000.000000,20000000.000000,6Mbps,OFDM,134,-85.000000,0.000000,
802.11 A/G OFDM,2442000000.000000,20000000.000000,6Mbps,OFDM,134,-86.000000,0.000000,
802.11 A/G OFDM,2442000000.000000,20000000.000000,6Mbps,OFDM,134,-87.000000,0.500000,
802.11 A/G OFDM,2442000000.000000,20000000.000000,6Mbps,OFDM,134,-88.000000,1.000000,
802.11 A/G OFDM,2442000000.000000,20000000.000000,6Mbps,OFDM,134,-89.000000,0.500000,
802.11 A/G OFDM,2442000000.000000,20000000.000000,6Mbps,OFDM,134,-90.000000,2.000000,
802.11 A/G OFDM,2442000000.000000,20000000.000000,6Mbps,OFDM,134,-91.000000,8.000000,
802.11 A/G OFDM,2442000000.000000,20000000.000000,6Mbps,OFDM,134,-92.000000,23.500000,
802.11 A/G OFDM,2442000000.000000,20000000.000000,6Mbps,OFDM,134,-93.000000,61.000000,
802.11 A/G OFDM,2442000000.000000,20000000.000000,6Mbps,OFDM,134,-94.000000,96.000000,
802.11 A/G OFDM,2442000000.000000,20000000.000000,6Mbps,OFDM,134,-95.000000,99.500000,
802.11 A/G OFDM,2442000000.000000,20000000.000000,6Mbps,OFDM,134,-96.000000,100.000000,
802.11 A/G OFDM,2442000000.000000,20000000.000000,6Mbps,OFDM,134,-97.000000,100.000000,
802.11 A/G OFDM,2442000000.000000,20000000.000000,6Mbps,OFDM,134,-98.000000,100.000000,
802.11 A/G OFDM,2442000000.000000,20000000.000000,6Mbps,OFDM,134,-99.000000,100.000000,
802.11 A/G OFDM,2442000000.000000,20000000.000000,6Mbps,OFDM,134,-100.000000,100.000000,
802.11 A/G OFDM,2427000000.000000,20000000.000000,6Mbps,OFDM,134,-15.000000,0.000000,2.776000
802.11 A/G OFDM,2427000000.000000,20000000.000000,6Mbps,OFDM,134,-16.000000,0.000000,
802.11 A/G OFDM,2427000000.000000,20000000.000000,6Mbps,OFDM,134,-17.000000,0.000000,
802.11 A/G OFDM,2427000000.000000,20000000.000000,6Mbps,OFDM,134,-18.000000,0.000000,
802.11 A/G OFDM,2427000000.000000,20000000.000000,6Mbps,OFDM,134,-19.000000,0.000000,
802.11 A/G OFDM,2427000000.000000,20000000.000000,6Mbps,OFDM,134,-20.000000,0.000000,
802.11 A/G OFDM,2427000000.000000,20000000.000000,6Mbps,OFDM,134,-21.000000,0.000000,
802.11 A/G OFDM,2427000000.000000,20000000.000000,6Mbps,OFDM,134,-22.000000,0.000000,
802.11 A/G OFDM,2427000000.000000,20000000.000000,6Mbps,OFDM,134,-23.000000,0.000000,
802.11 A/G OFDM,2427000000.000000,20000000.000000,6Mbps,OFDM,134,-24.000000,1.000000,
802.11 A/G OFDM,2427000000.000000,20000000.000000,6Mbps,OFDM,134,-25.000000,1.500000,
